province_code;province_english;Kode Okupasi;SKKNI Occupation;salary_min;salary_max;;;;;
36;Banten;TIK.DSC0605;Business Intelligence Analyst;8000000;;;;;;
31;Jakarta;TIK.DEV0608;Software Quality Assurance Analyst;;;;;;;
31;Jakarta;TIK.DEV0708;Software Engineer;5500000;7000000;;;;;
31;Jakarta;TIK.INF0602;Network Administrator;;;;;;;
31;Jakarta;TIK.DSC0605;Business Intelligence Analyst;1000000;2000000;;;;;
31;Jakarta;TIK.DEV0708;Software Engineer;1;2;;;;;
52;West Nusa Tenggara;TIK.INF0704;System Engineer;;;;;;;
31;Jakarta;TIK.DEV0608;Software Quality Assurance Analyst;;;;;;;
31;Jakarta;TIK.DEV0708;Software Engineer;0;0;;;;;
31;Jakarta;TIK.SEC0706;Cryptographic Engineer;;;;;;;
51;Bali;TIK.DEV0708;Software Engineer;;;;;;;
21;Riau Islands;TIK.DEV0502;Associate Programmer;;;;;;;
31;Jakarta;TIK.INF0704;System Engineer;8000000;;;;;;
35;East Java;TIK.DEV0708;Software Engineer;0;0;;;;;
31;Jakarta;TIK.ITG0703;ICT Project Manager;;;;;;;
31;Jakarta;TIK.INF0704;System Engineer;;;;;;;
31;Jakarta;TIK.DEV0604;Web Developer;;;;;;;
31;Jakarta;TIK.DEV0708;Software Engineer;;5000000;;;;;
31;Jakarta;TIK.INF0609;Network Architect;;;;;;;
31;Jakarta;TIK.INF0609;Network Architect;6400000;7000000;;;;;
31;Jakarta;TIK.DEV0608;Software Quality Assurance Analyst;;;;;;;
34;Yogyakarta Special Region;TIK.DEV0608;Software Quality Assurance Analyst;;;;;;;
36;Banten;TIK.DEV0708;Software Engineer;;;;;;;
31;Jakarta;TIK.DEV0708;Software Engineer;;;;;;;
21;Riau Islands;TIK.ITG0703;ICT Project Manager;;;;;;;
31;Jakarta;TIK.INF0510;Associate Security Engineer;;;;;;;
31;Jakarta;TIK.DEV0613;System Analyst;9000000;;;;;;
36;Banten;TIK.DEV0404;Information Management Assistant;;;;;;;
31;Jakarta;TIK.ITG0703;ICT Project Manager;;;;;;;
31;Jakarta;TIK.DEV0608;Software Quality Assurance Analyst;;;;;;;
31;Jakarta;TIK.DSC0604;Database Administrator;;;;;;;
36;Banten;TIK.DEV0608;Software Quality Assurance Analyst;;;;;;;
31;Jakarta;TIK.DSC0605;Business Intelligence Analyst;;;;;;;
31;Jakarta;TIK.ITG0703;ICT Project Manager;;;;;;;
32;West Java;TIK.INF0510;Associate Security Engineer;5138000;7000000;;;;;
34;Yogyakarta Special Region;TIK.DEV0502;Associate Programmer;;;;;;;
36;Banten;TIK.SRV0702;IT Manager;;9500000;;;;;
34;Yogyakarta Special Region;TIK.DEV0604;Web Developer;;;;;;;
31;Jakarta;TIK.DEV0613;System Analyst;;;;;;;
31;Jakarta;TIK.DEV0502;Associate Programmer;5000000;7000000;;;;;
31;Jakarta;TIK.DEV0708;Software Engineer;;;;;;;
31;Jakarta;TIK.DEV0708;Software Engineer;;;;;;;
31;Jakarta;TIK.DSC0605;Business Intelligence Analyst;;;;;;;
31;Jakarta;TIK.DEV0708;Software Engineer;;;;;;;
31;Jakarta;TIK.INF0609;Network Architect;;;;;;;
31;Jakarta;TIK.DSC0605;Business Intelligence Analyst;;;;;;;
31;Jakarta;TIK.SRV0504;Associate IT Service Support Specialist;;;;;;;
31;Jakarta;TIK.SEC0613;Information Security Analyst;;;;;;;
36;Banten;TIK.SRV0702;IT Manager;5000000;6500000;;;;;
31;Jakarta;TIK.SRV0504;Associate IT Service Support Specialist;;;;;;;
31;Jakarta;TIK.DEV0708;Software Engineer;;0;;;;;
31;Jakarta;TIK.INF0704;System Engineer;;;;;;;
12;North Sumatra;TIK.DEV0708;Software Engineer;;;;;;;
31;Jakarta;TIK.DEV0708;Software Engineer;;;;;;;
31;Jakarta;TIK.DEV0708;Software Engineer;;;;;;;
36;Banten;TIK.DSC0605;Business Intelligence Analyst;;;;;;;
31;Jakarta;TIK.DEV0502;Associate Programmer;;;;;;;
31;Jakarta;TIK.DEV0613;System Analyst;;;;;;;
31;Jakarta;TIK.ITG0703;ICT Project Manager;;;;;;;
31;Jakarta;TIK.DEV0708;Software Engineer;0;0;;;;;
31;Jakarta;TIK.SRV0504;Associate IT Service Support Specialist;4400000;4500000;;;;;
32;West Java;TIK.ITG0703;ICT Project Manager;;;;;;;
31;Jakarta;TIK.DEV0613;System Analyst;;;;;;;
31;Jakarta;TIK.DEV0613;System Analyst;;;;;;;
31;Jakarta;TIK.DEV0708;Software Engineer;;;;;;;
31;Jakarta;TIK.INF0602;Network Administrator;;;;;;;
36;Banten;TIK.INF0704;System Engineer;;;;;;;
36;Banten;TIK.DEV0708;Software Engineer;;;;;;;
31;Jakarta;TIK.DSC0605;Business Intelligence Analyst;6000000;8500000;;;;;
31;Jakarta;TIK.DEV0613;System Analyst;6000000;10000000;;;;;
34;Yogyakarta Special Region;TIK.DEV0708;Software Engineer;;;;;;;
31;Jakarta;TIK.DEV0604;Web Developer;;;;;;;
31;Jakarta;TIK.SEC0613;Information Security Analyst;;;;;;;
31;Jakarta;TIK.SRV0702;IT Manager;;;;;;;
32;West Java;TIK.DSC0604;Database Administrator;;;;;;;
31;Jakarta;TIK.INF0510;Associate Security Engineer;;;;;;;
36;Banten;TIK.ITG0703;ICT Project Manager;;;;;;;
36;Banten;TIK.DEV0613;System Analyst;;;;;;;
31;Jakarta;TIK.DEV0608;Software Quality Assurance Analyst;;;;;;;
31;Jakarta;TIK.ITG0703;ICT Project Manager;;;;;;;
36;Banten;TIK.SRV0702;IT Manager;;;;;;;
